Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1961","1961","tonnes","22","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1961","1961","tonnes","57","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1961","1961","tonnes","512","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1962","1962","tonnes","23","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1962","1962","tonnes","61","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1962","1962","tonnes","513","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1963","1963","tonnes","72","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1963","1963","tonnes","105","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1963","1963","tonnes","248","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1964","1964","tonnes","132","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1964","1964","tonnes","159","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1964","1964","tonnes","519","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1965","1965","tonnes","100","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1965","1965","tonnes","100","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1965","1965","tonnes","900","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1966","1966","tonnes","100","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1966","1966","tonnes","150","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1966","1966","tonnes","500","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1967","1967","tonnes","688","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1967","1967","tonnes","522","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1967","1967","tonnes","1285","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1968","1968","tonnes","1229","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1968","1968","tonnes","315","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1968","1968","tonnes","1442","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1969","1969","tonnes","1597","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1969","1969","tonnes","542","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1969","1969","tonnes","2401","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1970","1970","tonnes","2000","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1970","1970","tonnes","700","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1970","1970","tonnes","3000","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1971","1971","tonnes","2200","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1971","1971","tonnes","1200","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1971","1971","tonnes","1900","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1972","1972","tonnes","2058","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1972","1972","tonnes","1513","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1972","1972","tonnes","2375","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1973","1973","tonnes","1300","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1973","1973","tonnes","1500","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1973","1973","tonnes","1576","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1974","1974","tonnes","1341","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1974","1974","tonnes","1580","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1974","1974","tonnes","1660","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1975","1975","tonnes","791","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1975","1975","tonnes","800","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1975","1975","tonnes","823","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1976","1976","tonnes","1000","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1976","1976","tonnes","1000","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1977","1977","tonnes","700","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1977","1977","tonnes","100","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1977","1977","tonnes","300","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1978","1978","tonnes","1600","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1978","1978","tonnes","120","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1978","1978","tonnes","200","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1979","1979","tonnes","900","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1979","1979","tonnes","130","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1979","1979","tonnes","300","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1980","1980","tonnes","382","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1980","1980","tonnes","120","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1980","1980","tonnes","360","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1981","1981","tonnes","527","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1981","1981","tonnes","352","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1981","1981","tonnes","1887","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1982","1982","tonnes","1100","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1982","1982","tonnes","1300","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1982","1982","tonnes","700","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1983","1983","tonnes","3000","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1983","1983","tonnes","1500","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1983","1983","tonnes","900","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1984","1984","tonnes","3566","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1984","1984","tonnes","2246","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1984","1984","tonnes","1549","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1985","1985","tonnes","3800","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1985","1985","tonnes","5662","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1985","1985","tonnes","2032","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1986","1986","tonnes","4309","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1986","1986","tonnes","4235","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1986","1986","tonnes","2275","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1987","1987","tonnes","3432","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1987","1987","tonnes","4009","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1987","1987","tonnes","2028","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1988","1988","tonnes","2121","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1988","1988","tonnes","2935","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1988","1988","tonnes","1858","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1989","1989","tonnes","1100","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1989","1989","tonnes","1100","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1989","1989","tonnes","1100","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1990","1990","tonnes","5116","A","Chiffre officiel","Official data from questionnaire"
